Наименование;Агент;Широта;Долгота;СуммаПродаж;КоличествоДокументов;ПериодС;ПериодПо
"ИП Аштаев Рауп Супермаркет "Финик" ул. Хизроева (Абдулхакима Исмаилова 307) т.8988 271 71 71";"ТП Абдуллаев Абдулла (С/М)  ";42.981034;47.463985;814 674.00;8;2026-02-01;2026-05-31
"ИП Аштаев Рауп Супермаркет "Яблочко" п.Семендер ул.Сулакская 10";"ТП Абдуллаев Абдулла (С/М)  ";42.979131;47.401305;876 922.00;9;2026-02-01;2026-05-31
"ИП Гусенов Абдула М.  Гастроном "Оптовик №1" г. Каспийск ул.Ленина 98Б,т.8988-788-73-33 Мухаммад";"ТП Абдуллаев Абдулла (С/М)  ";42.907076;47.614287;13 193 070.00;55;2026-02-01;2026-05-31
"ИП Магомедов  Гамзат М.Супермаркет "Оптовик-1", ул. Губденская 199 А  т: 8 988 773 32 24 Мухаммад  ";"ТП Абдуллаев Абдулла (С/М)  ";42.955143;47.565172;2 640 349.00;57;2026-02-01;2026-05-31
"ИП Нурадингаджиев Рамазан Гастроном "Оптовик №1" ул.Нахимова 11,т..8988-306-07-77 Нурудин";"ТП Абдуллаев Абдулла (С/М)  ";42.967291;47.509241;1 956 938.00;27;2026-02-01;2026-05-31
"ИП Нурадинов Джалалудин Н. Гастроном "Оптовик №1", г. Каспийск,ул.Хизроева 3 т.8-988-788-73-33 ";"ТП Абдуллаев Абдулла (С/М)  ";42.890441;47.632264;8 958 673.00;35;2026-02-01;2026-05-31
"ИП Нурадинов Нурадин "Оптовик 24" г. Махачкала  ул.Ирчи казака 35 П т.8988 699 34 11 Рамазан ";"ТП Абдуллаев Абдулла (С/М)  ";42.963722;47.510824;699 830.00;5;2026-02-01;2026-05-31
"ИП Сайпудинова Сарат О."Оптовик №1" г.Каспийск  ул.Омарова 6,т.8 988 306 07 77 Нурудин  ";"ТП Абдуллаев Абдулла (С/М)  ";42.898217;47.622205;11 044 425.00;61;2026-02-01;2026-05-31
"Магазин "Оптовик 24" улица Тимирязева 2а тел.8988 795 49 67 (Камиль)";"ТП Абдуллаев Абдулла (С/М)  ";42.951734;47.505391;858 050.00;9;2026-02-01;2026-05-31
"Магазин "Оптовик 24",  г. Махачкала  ул. Ген.Омарова 127 т. 8 989 478 38 99 Ислам ";"ТП Абдуллаев Абдулла (С/М)  ";42.952195;47.500869;1 419 892.00;24;2026-02-01;2026-05-31
"Мусаханов Магомед Г.Гастроном "Оптовик 24", ул.Гагарина 50а т.8988 694 31 03 Ахмадсаид";"ТП Абдуллаев Абдулла (С/М)  ";42.957708;47.499844;1 781 964.00;21;2026-02-01;2026-05-31
"ООО "Легион" (Гастроном "Оптовик № 1")  Акушинского 94  т. 8988 788 73 33 (Мухамад)";"ТП Абдуллаев Абдулла (С/М)  ";42.973081;47.420724;1 303 801.00;15;2026-02-01;2026-05-31
"Супермаркет  "Оптовик",  г. Каспийск, ул. Хизроева 18  т. 8 928 557 27 34";"ТП Абдуллаев Абдулла (С/М)  ";42.890655;47.628932;3 070 512.00;28;2026-02-01;2026-05-31
"Супермаркет " Опт Фреш" г.Каспийск ул. Халилова 48 т.8-967-396-31-81 Ахмед";"ТП Абдуллаев Абдулла (С/М)  ";42.901525;47.628840;2 423 119.00;20;2026-02-01;2026-05-31
"Супермаркет "Оптовик 24" г.Махачкала ул.Газопроводная 8 корп.12 (Акушинского 107Б) т.8-989-861-34-69";"ТП Абдуллаев Абдулла (С/М)  ";42.965978;47.409119;1 209 963.00;20;2026-02-01;2026-05-31
"Супермаркет "Оптовик" г. Махачкала. ул. Газопроводная 1а т. 8988 438-30-16 (рядом с автостанцией)";"ТП Абдуллаев Абдулла (С/М)  ";42.952122;47.532358;109 884.00;2;2026-02-01;2026-05-31
"Супермаркет "Оптовик" г.Махачкала ул.Газпромная 23 (район Пальмира)тел:8909 483-34-44 Камиль";"ТП Абдуллаев Абдулла (С/М)  ";42.947667;47.540953;704 654.00;13;2026-02-01;2026-05-31
"Торговый Абдуллаев Абдула т. 8 988 210 19 86";"ТП Абдуллаев Абдулла (С/М)  ";42.927595;47.536730;47 153.00;4;2026-02-01;2026-05-31
"ТП Абдулаев Абдула 8 988 210 19 86";"ТП Абдуллаев Абдулла (С/М)  ";42.927638;47.536694;14 332.00;2;2026-02-01;2026-05-31
" ООО «ОПТ ТРЕЙД ЛИМИТЕД»  Пр-т Имама Шамиля 10";"ТП Абдуллаев Заур (С/М)";42.980824;47.473553;4 568 390.00;85;2026-02-01;2026-05-31
" ООО «ОПТ ТРЕЙД ЛИМИТЕД»  Ул.А.Магомедтагирова 157Б( №101)";"ТП Абдуллаев Заур (С/М)";42.986377;47.467016;997 213.00;42;2026-02-01;2026-05-31
" ООО «ОПТ ТРЕЙД ЛИМИТЕД» г.Каспийск ул.Ленина 54";"ТП Абдуллаев Заур (С/М)";42.896327;47.630185;8 525 712.00;102;2026-02-01;2026-05-31
" ООО «ОПТ ТРЕЙД ЛИМИТЕД» Пр-т Гамидова 61";"ТП Абдуллаев Заур (С/М)";42.956808;47.509732;10 785 376.00;112;2026-02-01;2026-05-31
" ООО «ОПТ ТРЕЙД ЛИМИТЕД» Пр-т Насрутдинова п. Газовиков";"ТП Абдуллаев Заур (С/М)";42.951477;47.562545;2 356 023.00;42;2026-02-01;2026-05-31
" ООО «ОПТ ТРЕЙД ЛИМИТЕД» Пр-т Петра Первого 56, "АвтоДом"";"ТП Абдуллаев Заур (С/М)";42.968376;47.537795;8 550 300.00;89;2026-02-01;2026-05-31
" ООО «ОПТ ТРЕЙД ЛИМИТЕД» пр-т Петра Первого д.131 (Пирамида)";"ТП Абдуллаев Заур (С/М)";42.957171;47.509580;4 274 906.00;86;2026-02-01;2026-05-31
" ООО «ОПТ ТРЕЙД ЛИМИТЕД» Пр-т Р.Гамзатова 57";"ТП Абдуллаев Заур (С/М)";42.978478;47.514568;12 054 257.00;102;2026-02-01;2026-05-31
" ООО «ОПТ ТРЕЙД ЛИМИТЕД» пр-т Шамиля 35а";"ТП Абдуллаев Заур (С/М)";42.966789;47.496481;5 564 750.00;84;2026-02-01;2026-05-31
" ООО «ОПТ ТРЕЙД ЛИМИТЕД» пр. А. Акушинского д.80 корп.5";"ТП Абдуллаев Заур (С/М)";42.976574;47.438826;6 650 538.00;89;2026-02-01;2026-05-31
" ООО «ОПТ ТРЕЙД ЛИМИТЕД» ТЦ "Северный" ул.Газопроводная 2А";"ТП Абдуллаев Заур (С/М)";42.968965;47.411525;3 854 278.00;82;2026-02-01;2026-05-31
" ООО «ОПТ ТРЕЙД ЛИМИТЕД» Ул. Абдулхакима Исмаилова 32 ( ул.Энгельса 37Б)";"ТП Абдуллаев Заур (С/М)";42.971191;47.481674;2 839 697.00;72;2026-02-01;2026-05-31
" ООО «ОПТ ТРЕЙД ЛИМИТЕД» ул. Гаджиева д.198 (№104)";"ТП Абдуллаев Заур (С/М)";42.996105;47.465742;813 762.00;27;2026-02-01;2026-05-31
" ООО «ОПТ ТРЕЙД ЛИМИТЕД» ул. Шамиля д.38 е (№109)";"ТП Абдуллаев Заур (С/М)";42.973924;47.482156;1 407 501.00;45;2026-02-01;2026-05-31
" ООО «ОПТ ТРЕЙД ЛИМИТЕД» ул. Ю. Акаева д.2/26 (№107)";"ТП Абдуллаев Заур (С/М)";42.952218;47.506040;1 942 009.00;46;2026-02-01;2026-05-31
" ООО «ОПТ ТРЕЙД ЛИМИТЕД» ул.Каммаева 19 корпус В (Молоток)";"ТП Абдуллаев Заур (С/М)";43.008976;47.447533;5 358 036.00;78;2026-02-01;2026-05-31
" ООО Санаторий "Каспий" 8-928-950-54-44";"ТП Абдуллаев Заур (С/М)";42.707624;47.715568;1 519 090.00;15;2026-02-01;2026-05-31
"ООО Санаторий "Парус"  (рядом с санатор.Каспий)  8 989 885  30 37";"ТП Абдуллаев Заур (С/М)";42.709675;47.715441;1 251 698.00;20;2026-02-01;2026-05-31
""Мучная лавка", г. Буйнакск,  ул.Чкалова 17 "в" (на углу светофора) т.8938-788-86-41 Асият";"ТП Абдуллаев Рашид (Буйнакск)";42.821875;47.121885;385 899.00;16;2026-02-01;2026-05-31
"Выпечка "Аппетитное чуду" г.Буйнакск ул.Муслима Атаева 16 т.8938 797 83 25";"ТП Абдуллаев Рашид (Буйнакск)";42.828618;47.125828;18 972.00;1;2026-02-01;2026-05-31
"Выпечка "Раздолье" центр рынок т. 8 989 479 04 00 ";"ТП Абдуллаев Рашид (Буйнакск)";42.823835;47.122233;437 754.00;14;2026-02-01;2026-05-31
"Выпечка "Тортиссимо", г. Буйнакск, ул. Шейха Узун-Гаджисалтынского 31   т. 8 988 262 70 00 ";"ТП Абдуллаев Рашид (Буйнакск)";42.810988;47.124838;57 500.00;2;2026-02-01;2026-05-31
"Выпечка "Хамур шекер" г.Буйнакск ул.Горького 3 т. 8 938 799 29 53 ";"ТП Абдуллаев Рашид (Буйнакск)";42.824300;47.121438;403 557.00;28;2026-02-01;2026-05-31
"Выпечка (домашняя) ул. И.Шамиля 18 т.8-928-568-78-58";"ТП Абдуллаев Рашид (Буйнакск)";42.826785;47.121783;143 826.00;7;2026-02-01;2026-05-31
"Выпечка,г.Буйнакск,ул.Костемирова,22  т.8 989 457 73 87 Ханика";"ТП Абдуллаев Рашид (Буйнакск)";42.829293;47.123425;45 360.00;4;2026-02-01;2026-05-31
"Гастроном "Дина" г. Буйнакск  ул. Горького (на углу рынка)  т. 8 989 880 88 86 ";"ТП Абдуллаев Рашид (Буйнакск)";42.824257;47.121643;2 893 791.00;88;2026-02-01;2026-05-31
"Гастроном "Дуранги" г. Буйнакск ул. Дружба т. 8 960 410 77 30";"ТП Абдуллаев Рашид (Буйнакск)";42.812015;47.131528;2 147 653.00;46;2026-02-01;2026-05-31
"Гастроном "Заказы на свадьбы", г.Буйнакск, ул.И.Шамиля 80 (возле г-ма "Фудмаркет")   т. 89289740424";"ТП Абдуллаев Рашид (Буйнакск)";42.815973;47.124377;351 170.00;9;2026-02-01;2026-05-31
"Гастроном "Караван" г. Буйнакск ул. Горького 2 напротив городской больницы т. 8-928-510-19-21";"ТП Абдуллаев Рашид (Буйнакск)";42.824445;47.122787;2 800 922.00;291;2026-02-01;2026-05-31
"Гастроном "Машала" г. Буйнакск ул. Эмирова 30, т. 8 928 276 00 08";"ТП Абдуллаев Рашид (Буйнакск)";42.819610;47.105995;731 463.00;35;2026-02-01;2026-05-31
"Гастроном "Оптовый" г. Буйнакск  Сквозной центр   т.8 928 671 81 57 ";"ТП Абдуллаев Рашид (Буйнакск)";42.823978;47.122060;8 520 750.00;148;2026-02-01;2026-05-31
"Гастроном "Оптовый" Казанищ центр на рынке т. 8 928 581 16 55";"ТП Абдуллаев Рашид (Буйнакск)";42.823613;47.122147;602 761.00;54;2026-02-01;2026-05-31
"Гастроном "Оптовый", Угловой  (на пов. к Дине) ул.Горького 4,тел..8988-772-77-72 Абакар";"ТП Абдуллаев Рашид (Буйнакск)";42.824433;47.122118;412 067.00;41;2026-02-01;2026-05-31
"Гастроном "Чулок" ул.Имама Шамиля 46 г.Буйнакск (рядом с Медина гастр) т.8988 654 10 70 Патимат";"ТП Абдуллаев Рашид (Буйнакск)";42.822350;47.122262;4 160.00;2;2026-02-01;2026-05-31
"Гастроном оптовый "Ансалта" (после 9 школы. на углу) т. 8 988 275 90 11 ";"ТП Абдуллаев Рашид (Буйнакск)";42.814230;47.132723;1 611 501.00;176;2026-02-01;2026-05-31
"Гипермаркет "Центральный", г. Буйнакск, ул. Орджоникидзе 56     т. 8-981-833-81-71";"ТП Абдуллаев Рашид (Буйнакск)";42.822471;47.120356;4 188 004.00;38;2026-02-01;2026-05-31
"Кафе "Гриль" .г Буйнакск ул.Имама Шамиля 132 (рядом м.Аура),т.8938-791-62-22";"ТП Абдуллаев Рашид (Буйнакск)";42.812515;47.130637;128 370.00;11;2026-02-01;2026-05-31
"Кафе "Магнолия" г.Буйнакск ул.Шамиля 52 (возле светофора) т. 8 989 893 48 43 Лейла";"ТП Абдуллаев Рашид (Буйнакск)";42.821570;47.121910;14 731.00;2;2026-02-01;2026-05-31
"Оптовый склад "Альфия" г.Буйнакск. ул. Шамиля 42  т. 8 928 224 40 00";"ТП Абдуллаев Рашид (Буйнакск)";42.824038;47.122273;1 582 106.00;77;2026-02-01;2026-05-31
"Оптовый склад "Сулак" г. Буйнакск ул. Железнодорожная  т. 8963 416 94 15 ";"ТП Абдуллаев Рашид (Буйнакск)";42.814878;47.134233;449 696.00;32;2026-02-01;2026-05-31
"Пекарня "Баракат" (рядом Аптека "Амир") г.Буйнакск ул.И.Шамиля 136,т..8928-576-96-92 Равганият";"ТП Абдуллаев Рашид (Буйнакск)";42.813138;47.129703;165 248.00;15;2026-02-01;2026-05-31
"Пекарня "Х&М", г. Буйнакс, ул. И. Шамиля 132б, т. 8964 002 25 17";"ТП Абдуллаев Рашид (Буйнакск)";42.813757;47.132555;334 360.00;37;2026-02-01;2026-05-31
"Пиццерия "Пицца Хаус",г.Буйнакск,ул.Дахадаева,108.  т.8 989 446 16 69";"ТП Абдуллаев Рашид (Буйнакск)";42.814245;47.114750;109 800.00;2;2026-02-01;2026-05-31
"Склад, ул.Наби Аминтаева 47/4   т.  8 928 521 33 88 Шамиль";"ТП Абдуллаев Рашид (Буйнакск)";42.829703;47.127952;6 512 134.00;21;2026-02-01;2026-05-31
"Столовая "Cafetera",г.Буйнакск, ул.Ленина 89 (у входа в центр.больницу)  т. 8 989 457 42 53";"ТП Абдуллаев Рашид (Буйнакск)";42.809865;47.118777;118 269.00;6;2026-02-01;2026-05-31
"Супермаркет  "Кавказ" (склад хорика) г.Буйнакск ул.И.Шамиля т. 8 928 531 54 24 ";"ТП Абдуллаев Рашид (Буйнакск)";42.816602;47.142348;146 022.00;3;2026-02-01;2026-05-31
"Супермаркет  "Корзина", г. Буйнакск ул.Гоголя 42 т.8963 400 41 06";"ТП Абдуллаев Рашид (Буйнакск)";42.823463;47.120952;1 807 338.00;85;2026-02-01;2026-05-31
"Супермаркет "Байтерек 2", В сторону Казанище, на трассе  т. 8 928 056 63 69";"ТП Абдуллаев Рашид (Буйнакск)";42.790877;47.139368;940 847.00;45;2026-02-01;2026-05-31
"Супермаркет "Корзина", г.Буйнакск, ул. Батырая 4  т. 8 963 407 08 65";"ТП Абдуллаев Рашид (Буйнакск)";42.825017;47.120915;4 256 949.00;62;2026-02-01;2026-05-31
"Супермаркет "Народный" г.  Буйнакск ул. Муслима Атаева 5. т. 8961 835 25 33 Айшат";"ТП Абдуллаев Рашид (Буйнакск)";42.827732;47.126278;200 304.00;3;2026-02-01;2026-05-31
"Супермаркет "Оптовый" Байтерек с.Казанище,(при въезде) т.8 928 056 63 69";"ТП Абдуллаев Рашид (Буйнакск)";42.769895;47.163068;4 983 643.00;54;2026-02-01;2026-05-31
"Супермаркет Оптовый "Добро" г.Буйнакск  ул. Орджоникидзе 13,т. 8938 777 38 81 Хапсат.";"ТП Абдуллаев Рашид (Буйнакск)";42.823023;47.120508;3 286 964.00;102;2026-02-01;2026-05-31
"Чудушная "Чудная", г.Буйнакск, ул. Газимагомеда 19Г  т. 8 903 482 35 35";"ТП Абдуллаев Рашид (Буйнакск)";42.826033;47.122787;44 808.00;3;2026-02-01;2026-05-31
" ИП Гайдарбекова Милана М. Гастроном "Рамазан" с.Сергокала Индира  т. 8-909-479-97-99";"ТП Агаханов  Беслан (нд - районы)";42.455966;47.655617;2 354 129.00;17;2026-02-01;2026-05-31
" ИП Магомедов Абдула Абдулвагабович. с.Эбдалая, Левашинский район т. 8 963 414 77 77 (Абдула)";"ТП Агаханов  Беслан (нд - районы)";42.370236;47.346065;4 987 310.00;19;2026-02-01;2026-05-31
" ООО "Компас" Магазин "Апельсин"  ЛЕВАШИ  от кольца 200м в сторону Гуниба т. 8 906 450 0208  Юсуп  ";"ТП Агаханов  Беслан (нд - районы)";42.420669;47.311818;226 806.00;7;2026-02-01;2026-05-31
"Агаханов Беслан ТП";"ТП Агаханов  Беслан (нд - районы)";42.574943;47.852480;5 499.00;2;2026-02-01;2026-05-31
"Алиев Хабиб п.Манас рядом с Нурджахан 8 967 396 50 40 п.Манас";"ТП Агаханов  Беслан (нд - районы)";42.719484;47.665774;745 827.00;20;2026-02-01;2026-05-31
"Алиева Шахрузат, с.Акуша (возле заправки) 8 928 980 28 16/8 938 206 38 55";"ТП Агаханов  Беслан (нд - районы)";42.277390;47.345572;245 395.00;13;2026-02-01;2026-05-31
"Артур Акушинский район. с.Амиртек тел: 8909-485-47-65";"ТП Агаханов  Беслан (нд - районы)";42.323718;47.222357;375 187.00;13;2026-02-01;2026-05-31
"Аслаханов Магомедгаджи А., с. Гурбуки, ул. Заречная 26   т. 8 989 876 88 24";"ТП Агаханов  Беслан (нд - районы)";42.612727;47.596998;689 369.00;3;2026-02-01;2026-05-31
"Б/З "Европа" Маймунат г.Избербаш ул.Гусейханова 2 (пед.училище) тел:8903-482-28-88";"ТП Агаханов  Беслан (нд - районы)";42.549290;47.882776;24 180.00;2;2026-02-01;2026-05-31
"Выпечка  "Зам -Зам" с. Гурбуки. 89651182233. Шапи";"ТП Агаханов  Беслан (нд - районы)";42.613039;47.602573;200 885.00;8;2026-02-01;2026-05-31
"Выпечка "Гермес", г. Избербаш, ул.Буйнакского 32   т.  8 928 284 21 48  Марьям";"ТП Агаханов  Беслан (нд - районы)";42.557657;47.879188;212 960.00;3;2026-02-01;2026-05-31
"Выпечка "Евролакомка" Манас   т. 8 963 405 83 82  Гуля";"ТП Агаханов  Беслан (нд - районы)";42.719135;47.665855;41 351.00;2;2026-02-01;2026-05-31
"Выпечка "Патимат" Акуша 8928-515-06-32.";"ТП Агаханов  Беслан (нд - районы)";42.290574;47.338488;27 739.00;3;2026-02-01;2026-05-31
"Выпечка "Пекарь" г.Избербаш ул.Азизова 28,т.. 8928-505-30-78 Хадижат";"ТП Агаханов  Беслан (нд - районы)";42.583526;47.858820;59 246.00;5;2026-02-01;2026-05-31
"Выпечка"Асия" с.Сергокала ,тел..8964 011 49 49 Арсен. ";"ТП Агаханов  Беслан (нд - районы)";42.453912;47.661157;348 395.00;13;2026-02-01;2026-05-31
"г. Избербаш,  ул. Маяковского 114  т. 8 967 400 61 02  Мадина";"ТП Агаханов  Беслан (нд - районы)";42.568571;47.868459;148 523.00;5;2026-02-01;2026-05-31
"Гаджиев Камалутдин ";"ТП Агаханов  Беслан (нд - районы)";42.583502;47.857462;106 500.00;4;2026-02-01;2026-05-31
"Гаджиева Аминат А. г.Избербаш "Пирожковая" (точка на рынке) т. 8 989 880 42 23";"ТП Агаханов  Беслан (нд - районы)";42.551795;47.876403;29 150.00;2;2026-02-01;2026-05-31
"Гасайни, г.Избербаш, улица Казбекова19. т. 8 (964) 000 01 38";"ТП Агаханов  Беслан (нд - районы)";42.558066;47.865726;2 473 091.00;37;2026-02-01;2026-05-31
"Гастроном " Авокадо", село Хаджалмахи, ( у вьезда в село, со стороны Леваши) т.8903 499 77 07 Рукият";"ТП Агаханов  Беслан (нд - районы)";42.420045;47.186198;1 158 864.00;18;2026-02-01;2026-05-31
"Гастроном " Мухтар". с.Сагаси Дейбук. ул. Комсомольская дом 19. т 8965 488 55 11 Джамиля";"ТП Агаханов  Беслан (нд - районы)";42.510740;47.845132;13 182.00;1;2026-02-01;2026-05-31
"Гастроном "222",  Хаджалмахи  Шарапудин   8 909 478 01 21";"ТП Агаханов  Беслан (нд - районы)";42.420094;47.182776;130 441.00;5;2026-02-01;2026-05-31
"Гастроном "Арадеш" г.Избербаш, ул. Суворова, рынок тел,8964-000-01-38 ";"ТП Агаханов  Беслан (нд - районы)";42.552960;47.875943;1 123 919.00;28;2026-02-01;2026-05-31
"Гастроном "Баракат" с.Дейбук.  (по дороге с правой стороны) т. 8965 485 39 25 ";"ТП Агаханов  Беслан (нд - районы)";42.508683;47.846996;17 123.00;1;2026-02-01;2026-05-31
"Гастроном "Колос" с.Леваши (рядом с МФЦ)  т.8 928 969 19 17 Абдусалам";"ТП Агаханов  Беслан (нд - районы)";42.431322;47.322035;374 732.00;16;2026-02-01;2026-05-31
"Гастроном "МК" с. Леваши ул. Гамидова т. 8928 950 81 05 Мурад";"ТП Агаханов  Беслан (нд - районы)";42.441682;47.332817;275 736.00;10;2026-02-01;2026-05-31
"Гастроном "Оптовик" Левашинский р-н с.Хаджалмахи,тел:8967-393-79-99";"ТП Агаханов  Беслан (нд - районы)";42.412482;47.177043;1 966 734.00;17;2026-02-01;2026-05-31
"Гастроном "Оптовик" с.Какамахи  Левашинский район (при въезде справа),т.. 8988-773-32-24 Магомед";"ТП Агаханов  Беслан (нд - районы)";42.403682;47.311343;120 295.00;3;2026-02-01;2026-05-31
"Гастроном "Ред" ул.Докучаева,1, г.Избербаш т. 8 909 483 62 63 Мухтар";"ТП Агаханов  Беслан (нд - районы)";42.552589;47.876554;68 418.00;11;2026-02-01;2026-05-31
"Гастроном "Фазенда" г.Избербаш ул. Гусейханова,5А т.8988-291-60-40 Раисат";"ТП Агаханов  Беслан (нд - районы)";42.561280;47.873414;62 729.00;4;2026-02-01;2026-05-31
"Гастроном с.Акуша  / 922 565 38 26 / 928 519 47 28 Рукият  (на против газпрома) ";"ТП Агаханов  Беслан (нд - районы)";42.301323;47.334898;33 967.00;5;2026-02-01;2026-05-31
"Гастроном,  с.Урма,  Левашинский район, тел..8928-869-23-26 Абдулла";"ТП Агаханов  Беслан (нд - районы)";42.506993;47.328980;965 139.00;19;2026-02-01;2026-05-31
"Гастроном"Аль Мадина"  с.Губден,тел..8963-411-17-71 Джангишиев Багавудин";"ТП Агаханов  Беслан (нд - районы)";42.566953;47.566945;95 562.00;17;2026-02-01;2026-05-31
"Гульжанат (Абакар) м-н №9 п.Манас,тел:8988-207-31-25";"ТП Агаханов  Беслан (нд - районы)";42.718987;47.665405;81 981.00;3;2026-02-01;2026-05-31
"Дадаев Магомед Левашинский р-н с.Кулецма т.8965 490 59 05 т.8965 492 99 29";"ТП Агаханов  Беслан (нд - районы)";42.554847;47.230888;175 689.00;4;2026-02-01;2026-05-31
"Ильяс,1-ая Юсупова,19,г.Избербаш т.8906 450 55 09";"ТП Агаханов  Беслан (нд - районы)";42.552177;47.868482;580 816.00;8;2026-02-01;2026-05-31
"ИП Абакаров Гасайни М., "Арадаеш Колорит",  г.Избербаш, ул.Азизова 27А   т. 8 964 000 01 38 ";"ТП Агаханов  Беслан (нд - районы)";42.583923;47.858562;676 127.00;16;2026-02-01;2026-05-31
"ИП Агамагомедов Рамазан М.г-м "Рамазан" г.Избербаш ул.Суворова (напр.Разият),Рынок,тел:8963-403-90-2";"ТП Агаханов  Беслан (нд - районы)";42.552951;47.876069;668 968.00;13;2026-02-01;2026-05-31
"ИП Алиев Руслан Алиевич,  Пиццерия "Гурмания",  г.Избербаш Т.8964-649-16-66";"ТП Агаханов  Беслан (нд - районы)";42.554232;47.878001;972 422.00;15;2026-02-01;2026-05-31
"ИП Алиев Х.А, г. Избербаш ул. И. Шамиля 99 т.8964-014-20-22  Халик";"ТП Агаханов  Беслан (нд - районы)";42.571013;47.854722;3 229 701.00;62;2026-02-01;2026-05-31
"ИП Димбагандов Басир  Абдулаевич  (Басир 8 928 557 68 61)  с.Сергокала";"ТП Агаханов  Беслан (нд - районы)";42.448787;47.665770;200 906.00;16;2026-02-01;2026-05-31
"ИП Ибрагимов С.А.  (Магомед 8 928 249 95 22)   "Альянс" с.Леваши";"ТП Агаханов  Беслан (нд - районы)";42.426673;47.339911;1 571 125.00;22;2026-02-01;2026-05-31
"ИП Магомедова С.М.   ( Сабият 8 928 595 40 14)   \у  родника\";"ТП Агаханов  Беслан (нд - районы)";42.275698;47.344433;232 515.00;18;2026-02-01;2026-05-31
"ИП Магомедсаидов И.М.   (Патимат (Ибрагим)  с.Леваши 8906-446-60-64";"ТП Агаханов  Беслан (нд - районы)";42.424694;47.318905;100 616.00;9;2026-02-01;2026-05-31
"ИП Мирзаев А.Н.  Абулмуслим с.Леваши т. 8928 297 76 66";"ТП Агаханов  Беслан (нд - районы)";42.420829;47.322815;1 782 100.00;27;2026-02-01;2026-05-31
"ИП Расулов Курбан Г, Гастроном "Рамазан" с.Сергокала Индира  т. 8-909-479-97-99";"ТП Агаханов  Беслан (нд - районы)";42.455966;47.655617;8 950.00;1;2026-02-01;2026-05-31
